time,spatial_ref,ET_mm_day
2004-02-04,0,0.03734644
2004-02-04,0,0.03734644
2004-02-05,0,0.049816176
2004-02-05,0,0.049816176
2004-02-06,0,0.048383564
2004-02-06,0,0.048383564
2004-02-07,0,0.041786566
2004-02-07,0,0.041786566
2004-02-08,0,0.04765754
2004-02-08,0,0.04765754
2004-02-09,0,0.042475477
2004-02-09,0,0.042475477
2004-02-10,0,0.5220482
2004-02-10,0,0.5220482
2004-02-11,0,0.5450552
2004-02-13,0,0.8347428
2004-02-14,0,0.8011141
2004-02-14,0,0.8011141
2004-02-15,0,0.63747245
2004-02-15,0,0.63747245
2004-02-16,0,0.6008957
2004-02-16,0,0.6008957
2004-02-17,0,0.5725351
2004-02-17,0,0.5725351
2004-02-18,0,0.13421741
2004-02-18,0,0.13421741
2004-02-19,0,0.121527635
2004-02-19,0,0.121527635
2004-02-20,0,0.10321963
2004-02-20,0,0.10321963
2004-02-21,0,0.10315467
2004-02-21,0,0.10315467
2004-02-22,0,0.11815466
2004-02-22,0,0.11815466
2004-02-23,0,0.08716527
2004-02-23,0,0.08716527
2004-02-24,0,0.10838887
2004-02-24,0,0.10838887
2004-02-25,0,0.10150243
2004-02-25,0,0.10150243
2004-02-26,0,0.11520549
2004-02-26,0,0.11520549
2004-02-27,0,0.13920636
2004-02-27,0,0.13920636
2004-02-28,0,0.14974195
2004-02-28,0,0.14974195
2004-02-29,0,0.11831773
2004-02-29,0,0.11831773
2004-03-01,0,0.124729574
2004-03-01,0,0.124729574
2004-03-02,0,0.14822759
2004-03-02,0,0.14822759
2004-03-03,0,0.1715559
2004-03-03,0,0.1715559
2004-03-04,0,0.17384401
2004-03-04,0,0.17384401
2004-03-05,0,1.5520309
2004-03-05,0,1.5520309
2004-03-06,0,1.897142
2004-03-06,0,1.897142
2004-03-07,0,1.7034854
2004-03-07,0,1.7034854
2004-03-08,0,1.8133956
2004-03-08,0,1.8133956
2004-03-09,0,1.7467253
2004-03-09,0,1.7467253
2004-03-10,0,1.7444978
2004-03-10,0,1.7444978
2004-03-11,0,1.725959
2004-03-11,0,1.725959
2004-03-12,0,2.0073948
2004-03-12,0,2.0073948
2004-03-13,0,0.7718948
2004-03-13,0,0.7718948
2004-03-14,0,0.763019
2004-03-14,0,0.763019
2004-03-15,0,0.7776699
2004-03-15,0,0.7776699
2004-03-16,0,0.78619444
2004-03-16,0,0.78619444
2004-03-17,0,0.7911817
2004-03-17,0,0.7911817
2004-03-18,0,0.774229
2004-03-18,0,0.774229
2004-03-19,0,0.7991277
2004-03-19,0,0.7991277
2004-03-20,0,1.0057088
2004-03-20,0,1.0057088
2004-03-21,0,0.6465763
2004-03-23,0,0.8378109
2004-03-24,0,0.7426593
2004-03-24,0,0.7426593
2004-03-25,0,0.748708
2004-03-25,0,0.748708
2004-03-26,0,0.7421145
2004-03-26,0,0.7421145
2004-03-27,0,0.88243526
2004-03-27,0,0.88243526
2004-03-28,0,0.8675462
2004-03-28,0,0.8675462
2004-03-29,0,2.0300162
2004-03-29,0,2.0300162
2004-03-30,0,1.8234084
2004-03-30,0,1.8234084
2004-03-31,0,2.0334835
2004-03-31,0,2.0334835
2004-04-01,0,2.0086222
2004-04-01,0,2.0086222
2004-04-02,0,1.9041773
2004-04-02,0,1.9041773
2004-04-03,0,1.9861017
2004-04-03,0,1.9861017
2004-04-04,0,1.7804251
2004-04-04,0,1.7804251
2004-04-05,0,1.804861
2004-04-05,0,1.804861
2004-04-06,0,2.966512
2004-04-06,0,2.966512
2004-04-07,0,2.7259562
2004-04-07,0,2.7259562
2004-04-08,0,2.7664435
2004-04-08,0,2.7664435
2004-04-09,0,2.8950326
2004-04-09,0,2.8950326
2004-04-10,0,2.9860837
2004-04-12,0,2.6121867
2004-04-13,0,2.6898313
2004-04-13,0,2.6898313
2004-04-14,0,2.1624167
2004-04-14,0,2.1624167
2004-04-15,0,2.1404402
2004-04-15,0,2.1404402
2004-04-16,0,2.0037513
2004-04-16,0,2.0037513
2004-04-17,0,2.062932
2004-04-17,0,2.062932
2004-04-18,0,2.1443002
2004-04-18,0,2.1443002
2004-04-19,0,2.3034167
2004-04-21,0,2.346287
2004-04-22,0,2.2452052
2004-04-22,0,2.2452052
2004-04-23,0,2.0971274
2004-04-23,0,2.0971274
2004-04-24,0,2.413262
2004-04-24,0,2.413262
2004-04-25,0,2.2563329
2004-04-25,0,2.2563329
2004-04-26,0,2.354173
2004-04-26,0,2.354173
2004-04-27,0,2.6314144
2004-04-27,0,2.6314144
2004-04-28,0,2.5424488
2004-04-28,0,2.5424488
