time,ET_cap_m3_day,ET_no_cap_m3_day,ET_m3_day,ET_cap_m_day,ET_no_cap_m_day,SSEBop_ET_m_day
2004-01-27,878787120.9847816,1191220009.671011,1738037100.0,0.4290952739183504,0.5816503953471733,0.8443290430866206
2004-01-28,1302098373.2457385,1622884558.123898,1773919000.0,0.6357902213113957,0.7924241006464345,0.8617602764539232
2004-01-29,1127841193.7183757,1381399090.3542082,1409778200.0,0.5507037078703007,0.6745112745870158,0.6848626410623677
2004-01-30,1050464118.6385679,1430340871.6677456,1624669200.0,0.5129219329289882,0.6984086287440164,0.7892555291071206
2004-01-31,954222735.5398217,1190434762.8280165,1329882100.0,0.4659290700878036,0.5812669740371175,0.6460495468773512
2004-02-01,2801471096.834723,2840764538.764549,1140261100.0,1.3679058090013296,1.3870920599436274,0.5539326884517582
2004-02-02,3714102553.245015,3976131650.2638865,98836010.0,1.8135266373266676,1.9414705323554133,0.04801400024533404
2004-02-03,883773727.6221905,1114995053.6010983,122124010.0,0.4315301404405227,0.5444311785161613,0.05932718496124213
2004-02-04,7496804316.325418,7651802711.770834,84515000.0,3.660548982580771,3.7362317928568527,0.04105693087705996
2004-02-05,2848885105.7723303,2978010332.260438,112734010.0,1.3910571805528957,1.454106607549042,0.0547655736385705
2004-02-06,709184056.7919848,919928296.138437,109492010.0,0.3462812777304613,0.44918373834884623,0.0531906275354713
2004-02-07,803457530.1864235,987859180.1907859,94563000.0,0.39231324716133964,0.48235311532753217,0.04593819504854074
2004-02-08,1230720212.8656924,1513143475.176353,107849010.0,0.6009376039383264,0.7388395874884536,0.052392467002654534
2004-02-09,1173015304.2811697,1325531905.64732,96122000.0,0.5727613790435399,0.6472323758043554,0.04669554883470103
2004-02-10,1141716458.671099,1403138421.2604916,1181395000.0,0.5574787395854975,0.6851261822560994,0.5739153150742974
2004-02-11,859999796.9428647,946374649.8038673,1233460000.0,0.41992177585100815,0.4620969969745446,0.5992082110822738
2004-02-13,752953003.4719765,925005494.6702052,1889023000.0,0.36765283372655105,0.45166283919443617,0.9176771784437843
2004-02-14,1536843429.9047408,1635295266.245078,1812921100.0,0.7504118310081742,0.7984840167212295,0.880707286141673
2004-02-15,718990300.8868341,860079506.1774962,1442600100.0,0.3510694828548995,0.4199606963757306,0.7008073429443268
2004-02-16,970594397.8809724,1131705098.9961016,1359827000.0,0.4739230458403185,0.5525903803691903,0.6605966176863256
2004-02-17,1185043864.842152,1373227758.6498272,1295647000.0,0.5786346996299571,0.6705213665282359,0.629418320062357
2004-02-18,1836526630.6029205,2131450965.823416,303734000.0,0.8967415188490823,1.0407475419059649,0.14755233796382805
2004-02-19,2530868328.3887796,2828423269.8599224,275017020.0,1.2357755509710837,1.3810660497362903,0.133601784063835
2004-02-20,2463951631.817437,2926507556.102993,233586020.0,1.203101382723358,1.4289587676284146,0.11347482786472868
2004-02-21,1867181747.0462942,2203182523.8265886,233439000.0,0.9117098374249484,1.0757727167122015,0.11340340634218776
2004-02-22,2644765188.503381,2971468158.464117,267384000.0,1.2913892521989163,1.4509121867500572,0.12989370414283616
