time,ET_cap_m3_day,ET_no_cap_m3_day,ET_m3_day
2004-05-12,541635169.2516807,439667612.6379551,5369812000.0
2004-05-13,634015515.728675,577470844.7477006,5486638600.0
2004-05-14,388086131.1498421,367636617.0418889,4680321500.0
2004-05-15,362890460.92364866,334551170.02348787,5157731300.0
2004-05-16,460117622.52130234,397205838.7343779,5632724000.0
2004-05-17,546935373.4834867,439713438.1038762,6241576000.0
2004-05-18,530646426.64297926,397683347.1095105,6925559300.0
2004-05-19,540147640.8625829,370139792.07478374,6198480400.0
2004-05-20,539168180.7142282,347406445.5649815,5856523300.0
2004-05-21,564605109.3124548,336945778.9412536,6268340700.0
2004-05-22,569890193.9266942,312675589.6703807,6704770000.0
2004-05-23,494664262.598391,249131121.84156096,6374953000.0
2004-05-24,467798842.37676555,213773218.26760846,3676289300.0
2004-05-25,490807252.1172945,218104906.75293994,3799312100.0
2004-05-26,425013271.9445614,166113903.27486184,3866104000.0
2004-05-27,388316335.36412144,143760023.36345583,3912088300.0
2004-05-28,436299915.4844893,272043229.7047717,4323936000.0
2004-05-29,530739916.8806981,186075965.8036692,4803900400.0
2004-05-30,467803525.1138658,118429714.47387955,4406857700.0
2004-05-31,383329082.45327675,79841914.83244696,4312779300.0
2004-06-01,395642483.77035815,69831230.51574282,6165550600.0
2004-06-02,424982810.31249994,97321002.20861337,6215844000.0
2004-06-03,641644489.6060344,594243372.3977163,7100050400.0
2004-06-04,518806837.18495065,505839226.7286545,6145018400.0
2004-06-05,555508970.4080997,527211580.22541547,6055864300.0
2004-06-06,500081854.524889,419223189.3402121,6209030700.0
2004-06-07,528124554.6617117,366120233.7003957,6150998500.0
2004-06-08,533829204.26745284,337975533.1657463,5998808000.0
2004-06-09,700100340.7536879,663469375.3663034,8074309600.0
2004-06-10,656276474.5132328,702608108.1722983,8409094000.0
2004-06-11,623938488.8255512,673918943.0810308,8313621000.0
2004-06-12,630128766.7213783,653041327.869534,8092859000.0
2004-06-13,588822876.4326531,562740842.2388073,7631052000.0
2004-06-15,523815007.3257165,429866525.58601415,8661996000.0
2004-06-16,484819022.95006526,376013600.59055805,7381997600.0
2004-06-17,472928957.7059454,325042706.3502476,9262053000.0
2004-06-18,496944805.48974776,316233380.8143788,9343114000.0
