time,ET_cap_m3_day,ET_no_cap_m3_day,ET_cap_m_day,ET_no_cap_m_day,ET_mm_day,SSEBop_ET_m_day
2003-12-23,559358.7633626285,557630.4655424135,0.0002731243961731585,0.00027228050075313163,0.0011701282,1.1701282e-06
2003-12-24,446141.39073322254,445715.4015358137,0.0002178424759439563,0.00021763447340615902,0.0011701282,1.1701282e-06
2003-12-25,618009.3660658873,598037.2296529321,0.00030176238577435903,0.0002920103660414708,0.0011939903,1.1939902999999999e-06
2003-12-26,523126.5412002707,479533.74344825157,0.00025543288144544467,0.00023414733566809158,0.0009209015,9.209015e-07
2003-12-27,271648.66669623845,238192.70182482255,0.00013264095053527268,0.00011630503018790164,0.024515688,2.4515688e-05
2003-12-28,541784.623522589,503605.5900130741,0.00026454327320438913,0.00024590116699857136,0.02726381,2.726381e-05
2003-12-29,476975.8743459276,451148.22972455213,0.00023289837614547248,0.00022028722154519148,0.025433496,2.5433496e-05
2003-12-30,664751.4231153674,606359.0048459849,0.0003245856558180505,0.0002960737328349535,0.024244368,2.4244368e-05
2003-12-31,680631.9583194084,610471.703356678,0.0003323398233981486,0.00029808188640462793,0.031795405,3.1795405e-05
2004-01-01,355506.87968342,294256.0329887837,0.00017358734359541991,0.00014367970360780455,0.0,0.0
2004-01-02,721458.1844368636,600294.1750582891,0.0003522745041195623,0.0002931123901651802,0.0,0.0
2004-01-03,489174.4866245019,391111.1229891193,0.00023885472979712005,0.00019097222802203092,0.0,0.0
2004-01-04,378723.04981337837,333958.19919656316,0.00018492336416668864,0.00016306552695144686,0.0,0.0
2004-01-05,376744.4765318591,337532.03527227807,0.00018395726393157183,0.000164810564097792,0.0,0.0
2004-01-06,267349.7940752589,237788.70427979314,0.00013054189163831,0.00011610776576161774,0.0,0.0
2004-01-07,306401.52133986005,261187.52831121866,0.00014961011784172853,0.00012753297280821224,0.0,0.0
2004-01-08,421200.72775092925,349356.1517141294,0.00020566441784713343,0.00017058405845416473,0.0,0.0
