time,spatial_ref,ET_m_day
2004-02-09,0,0.04669555
2004-02-10,0,0.5739153
2004-02-11,0,0.5992082
2004-02-13,0,0.91767716
2004-02-14,0,0.8807073
2004-02-15,0,0.70080733
2004-02-16,0,0.6605966
2004-02-17,0,0.6294183
2004-02-18,0,0.14755234
2004-02-19,0,0.13360178
2004-02-20,0,0.11347482
2004-02-21,0,0.11340341
2004-02-22,0,0.1298937
2004-02-23,0,0.09582542
2004-02-24,0,0.11915765
2004-02-25,0,0.111587025
2004-02-26,0,0.12665153
2004-02-27,0,0.15303695
2004-02-28,0,0.16461928
2004-02-29,0,0.13007297
2004-03-01,0,0.13712186
2004-03-02,0,0.16295446
2004-03-03,0,0.18860053
2004-03-04,0,0.19111596
2004-03-05,0,1.7062302
2004-03-06,0,2.0856292
2004-03-07,0,1.872732
2004-03-08,0,1.9935622
2004-03-09,0,1.920268
2004-03-10,0,1.9178191
2004-03-11,0,1.8974385
2004-03-12,0,2.2068357
2004-03-13,0,0.848585
2004-03-14,0,0.8388274
2004-03-15,0,0.85493386
2004-03-16,0,0.8643053
2004-03-17,0,0.86978805
2004-03-18,0,0.8511511
2004-03-19,0,0.8785236
2004-03-20,0,1.1056291
2004-03-21,0,0.7108157
2004-03-23,0,0.9210501
2004-03-24,0,0.8164448
2004-03-25,0,0.8230945
2004-03-26,0,0.8158459
2004-03-27,0,0.97010803
2004-03-28,0,0.9537397
2004-03-29,0,2.2317047
2004-03-30,0,2.0045698
2004-03-31,0,2.2355168
2004-04-01,0,2.2081852
2004-04-02,0,2.0933635
2004-04-03,0,2.1834273
2004-04-04,0,1.957316
2004-04-05,0,1.9841796
2004-04-06,0,3.2612443
2004-04-07,0,2.9967885
2004-04-08,0,3.0412984
2004-04-09,0,3.1826634
2004-04-10,0,3.2827606
2004-04-12,0,2.8717158
2004-04-13,0,2.9570744
2004-04-14,0,2.3772595
2004-04-15,0,2.3530998
2004-04-16,0,2.2028303
2004-04-17,0,2.267891
2004-04-18,0,2.3573432
2004-04-19,0,2.5322683
2004-04-21,0,2.5793982
2004-04-22,0,2.4682734
2004-04-23,0,2.3054836
2004-04-24,0,2.6530273
2004-04-25,0,2.4805067
2004-04-26,0,2.5880673
2004-04-27,0,2.8928537
2004-04-28,0,2.7950492
2004-04-29,0,2.7515905
2004-04-30,0,3.58104
2004-05-01,0,2.8842413
2004-05-02,0,3.208454
2004-05-03,0,3.482918
2004-05-04,0,3.4331357
2004-05-05,0,3.311314
2004-05-06,0,3.336851
2004-05-07,0,3.6563094
2004-05-08,0,2.585887
2004-05-09,0,2.5966263
2004-05-11,0,2.4393175
2004-05-12,0,2.6086257
2004-05-13,0,2.6653795
2004-05-14,0,2.2736747
2004-05-15,0,2.505598
2004-05-16,0,2.736347
2004-05-17,0,3.032124
2004-05-18,0,3.3643994
2004-05-19,0,3.0111883
2004-05-20,0,2.8450675
2004-05-21,0,3.045126
2004-05-22,0,3.257141
2004-05-23,0,3.0969179
2004-05-24,0,1.7859215
2004-05-25,0,1.8456854
2004-05-26,0,1.8781325
2004-05-27,0,1.9004713
2004-05-28,0,2.1005447
2004-05-29,0,2.3337088
2004-05-30,0,2.1408277
