time,spatial_ref,ET_m3_day
2019-12-08,0,0.0
2019-12-09,0,0.0
2019-12-10,0,0.0
2019-12-11,0,0.0
2019-12-12,0,0.0
2019-12-13,0,0.0
2019-12-14,0,0.0
2019-12-15,0,0.0
2019-12-16,0,0.0
2019-12-17,0,0.0
2019-12-18,0,0.0
2019-12-19,0,0.0
2019-12-20,0,0.0
2019-12-21,0,0.0
2019-12-22,0,0.0
2019-12-23,0,0.0
2019-12-24,0,0.0
2019-12-25,0,0.0
2019-12-26,0,0.0
2019-12-27,0,0.0
2019-12-28,0,0.0
2019-12-29,0,0.0
2019-12-30,0,0.0
2019-12-31,0,0.0
2020-01-01,0,0.0
2020-01-02,0,0.0
2020-01-03,0,0.0
2020-01-04,0,0.0
2020-01-05,0,0.0
2020-01-06,0,0.0
2020-01-07,0,0.0
2020-01-08,0,0.0
2020-01-09,0,0.0
2020-01-10,0,0.0
2020-01-11,0,0.0
2020-01-12,0,0.0
2020-01-13,0,0.0
2020-01-14,0,0.0
2020-01-15,0,0.0
2020-01-16,0,0.0
2020-01-17,0,2026.0
2020-01-18,0,2026.0
2020-01-19,0,1773.0
2020-01-20,0,2026.0
2020-01-21,0,1773.0
2020-01-22,0,1773.0
2020-01-23,0,1773.0
2020-01-24,0,1773.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,68405.0
2020-02-19,0,62884.004
2020-02-20,0,63832.0
2020-02-21,0,55490.004
2020-02-22,0,58165.004
2020-02-23,0,54804.0
2020-02-24,0,54589.0
2020-02-25,0,52635.004
2020-02-26,0,155472.02
2020-02-27,0,146778.02
2020-02-28,0,177205.0
2020-02-29,0,185433.02
2020-03-01,0,188155.0
2020-03-02,0,221513.02
2020-03-04,0,219513.0
2020-03-05,0,17891.002
2020-03-06,0,21886.002
2020-03-07,0,24934.002
2020-03-08,0,23355.0
2020-03-09,0,24394.002
2020-03-10,0,27821.0
2020-03-11,0,27332.002
2020-03-12,0,23063.0
2020-03-13,0,41640.004
2020-03-14,0,46866.004
2020-03-15,0,44639.004
2020-03-16,0,41434.0
2020-03-17,0,45621.004
2020-03-18,0,44030.004
2020-03-19,0,44254.004
2020-03-20,0,42531.004
2020-03-21,0,290702.0
2020-03-22,0,274240.03
2020-03-23,0,329539.0
2020-03-24,0,316093.97
2020-03-25,0,289949.03
2020-03-26,0,372250.0
2020-03-27,0,377980.03
2020-03-28,0,339373.03
2020-03-29,0,1779298.1
2020-03-30,0,1889054.1
2020-03-31,0,1564329.1
2020-04-01,0,1809505.1
2020-04-02,0,2011524.2
2020-04-03,0,1856167.1
2020-04-04,0,1583363.0
2020-04-05,0,1926385.0
2020-04-06,0,737133.06
2020-04-07,0,691530.06
2020-04-08,0,796521.0
2020-04-09,0,911519.06
2020-04-10,0,862089.06
2020-04-11,0,791283.06
2020-04-12,0,839337.06
2020-04-13,0,987520.06
2020-04-14,0,2644890.0
2020-04-15,0,2405504.2
2020-04-16,0,2131128.8
2020-04-17,0,2622266.0
2020-04-18,0,2734451.0
2020-04-19,0,2870383.2
2020-04-20,0,2851293.2
2020-04-21,0,2530369.0
2020-04-22,0,1683456.1
2020-04-23,0,2407088.0
2020-04-24,0,2602228.0
2020-04-25,0,2578564.0
2020-04-26,0,2345865.2
2020-04-27,0,2824548.0
2020-04-28,0,2989246.2
2020-04-29,0,2765890.0
2020-04-30,0,1985363.1
2020-05-01,0,1805129.1
2020-05-03,0,1878136.0
2020-05-04,0,1988967.0
2020-05-05,0,1932178.0
2020-05-06,0,2234013.0
2020-05-07,0,2183466.0
2020-05-08,0,2080791.0
2020-05-09,0,2598379.2
2020-05-10,0,2355354.2
2020-05-11,0,2397229.0
2020-05-12,0,2277718.0
2020-05-13,0,2344571.0
2020-05-14,0,2307200.2
2020-05-15,0,1833726.0
2020-05-16,0,3008480.2
2020-05-17,0,3137614.0
2020-05-18,0,3533143.2
2020-05-19,0,3664792.0
2020-05-20,0,3718880.5
2020-05-21,0,3370500.0
2020-05-22,0,2454090.0
2020-05-23,0,3138946.2
2020-05-24,0,3761457.0
2020-05-25,0,3686953.0
2020-05-26,0,3544381.5
2020-05-27,0,4177755.2
2020-05-28,0,3697772.0
2020-05-29,0,3941325.2
2020-05-30,0,3709046.2
2020-05-31,0,3888151.2
2020-06-01,0,4270467.0
2020-06-02,0,3878724.2
2020-06-03,0,4011533.2
2020-06-04,0,3720671.2
2020-06-05,0,4215416.0
2020-06-06,0,3566401.5
2020-06-07,0,4704859.5
2020-06-08,0,4294543.0
2020-06-09,0,4707773.0
2020-06-10,0,3752354.2
2020-06-11,0,4045199.0
2020-06-12,0,3850164.2
2020-06-13,0,3468551.2
2020-06-15,0,4121198.2
2020-06-16,0,4349209.0
2020-06-17,0,4495630.5
2020-06-18,0,4697120.0
2020-06-19,0,4783215.5
2020-06-20,0,4808804.0
2020-06-21,0,4605607.5
2020-06-22,0,4826325.5
2020-06-23,0,5533882.5
2020-06-24,0,5572439.5
2020-06-25,0,5434906.5
2020-06-26,0,5234237.0
2020-06-27,0,5191398.5
2020-06-28,0,5127697.5
2020-06-29,0,5621928.5
2020-06-30,0,5060379.0
2020-07-01,0,5469731.5
2020-07-02,0,5398062.5
2020-07-03,0,6071640.5
